"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Lower gym","26 Mar 2025, 20:58","26 Mar 2025, 21:56","","Romanian Deadlift (Barbell)",,"",0,"normal",25,10,,,
"Lower gym","26 Mar 2025, 20:58","26 Mar 2025, 21:56","","Romanian Deadlift (Barbell)",,"",1,"normal",40,10,,,
"Lower gym","26 Mar 2025, 20:58","26 Mar 2025, 21:56","","Romanian Deadlift (Barbell)",,"",2,"normal",40,11,,,
"Lower gym","26 Mar 2025, 20:58","26 Mar 2025, 21:56","","Romanian Deadlift (Barbell)",,"",3,"normal",40,10,,,
"Lower gym","26 Mar 2025, 20:58","26 Mar 2025, 21:56","","Leg Press (Machine)",,"",0,"normal",90,10,,,
"Lower gym","26 Mar 2025, 20:58","26 Mar 2025, 21:56","","Leg Press (Machine)",,"",1,"normal",140,10,,,
"Lower gym","26 Mar 2025, 20:58","26 Mar 2025, 21:56","","Leg Press (Machine)",,"",2,"normal",150,8,,,
"Lower gym","26 Mar 2025, 20:58","26 Mar 2025, 21:56","","Leg Press (Machine)",,"",3,"normal",150,9,,,
"Lower gym","26 Mar 2025, 20:58","26 Mar 2025, 21:56","","Leg Extension (Machine)",,"",0,"normal",50,12,,,
"Lower gym","26 Mar 2025, 20:58","26 Mar 2025, 21:56","","Leg Extension (Machine)",,"",1,"normal",70,12,,,
"Lower gym","26 Mar 2025, 20:58","26 Mar 2025, 21:56","","Leg Extension (Machine)",,"",2,"normal",70,10,,,
"Upper gym","25 Mar 2025, 21:08","25 Mar 2025, 22:02","","Chest Press (Machine)",,"",0,"normal",45,10,,,
"Upper gym","25 Mar 2025, 21:08","25 Mar 2025, 22:02","","Chest Press (Machine)",,"",1,"normal",70,10,,,
"Upper gym","25 Mar 2025, 21:08","25 Mar 2025, 22:02","","Chest Press (Machine)",,"",2,"normal",77,4,,,
"Upper gym","25 Mar 2025, 21:08","25 Mar 2025, 22:02","","Chest Press (Machine)",,"",3,"normal",70,7,,,
"Upper gym","25 Mar 2025, 21:08","25 Mar 2025, 22:02","","Rope Straight Arm Pulldown",,"",0,"normal",20,10,,,
"Upper gym","25 Mar 2025, 21:08","25 Mar 2025, 22:02","","Rope Straight Arm Pulldown",,"",1,"normal",29,10,,,
"Upper gym","25 Mar 2025, 21:08","25 Mar 2025, 22:02","","Rope Straight Arm Pulldown",,"",2,"normal",29,10,,,
"Upper gym","25 Mar 2025, 21:08","25 Mar 2025, 22:02","","Rope Straight Arm Pulldown",,"",3,"normal",36,8,,,
"Upper gym","25 Mar 2025, 21:08","25 Mar 2025, 22:02","","Seated Row (Machine)",,"",0,"normal",44,10,,,
"Upper gym","25 Mar 2025, 21:08","25 Mar 2025, 22:02","","Seated Row (Machine)",,"",1,"normal",70,9,,,
"Upper gym","25 Mar 2025, 21:08","25 Mar 2025, 22:02","","Seated Row (Machine)",,"",2,"normal",70,9,,,
"Upper gym","25 Mar 2025, 21:08","25 Mar 2025, 22:02","","Seated Shoulder Press (Machine)",,"",0,"normal",23,10,,,
"Upper gym","25 Mar 2025, 21:08","25 Mar 2025, 22:02","","Seated Shoulder Press (Machine)",,"",1,"normal",50,8,,,
"Upper gym","25 Mar 2025, 21:08","25 Mar 2025, 22:02","","Seated Shoulder Press (Machine)",,"",2,"normal",50,4,,,
"Upper gym","25 Mar 2025, 21:08","25 Mar 2025, 22:02","","Seated Shoulder Press (Machine)",,"",3,"normal",43,10,,,
"Lower gym","23 Mar 2025, 15:48","23 Mar 2025, 17:02","","Seated Leg Curl (Machine)",,"",0,"normal",29,10,,,
"Lower gym","23 Mar 2025, 15:48","23 Mar 2025, 17:02","","Seated Leg Curl (Machine)",,"",1,"normal",50,8,,,
"Lower gym","23 Mar 2025, 15:48","23 Mar 2025, 17:02","","Seated Leg Curl (Machine)",,"",2,"normal",50,8,,,
"Lower gym","23 Mar 2025, 15:48","23 Mar 2025, 17:02","","Seated Leg Curl (Machine)",,"",3,"normal",50,8,,,
"Lower gym","23 Mar 2025, 15:48","23 Mar 2025, 17:02","","Squat (Barbell)",,"",0,"normal",40,10,,,
"Lower gym","23 Mar 2025, 15:48","23 Mar 2025, 17:02","","Romanian Deadlift (Barbell)",,"",0,"normal",25,10,,,
"Lower gym","23 Mar 2025, 15:48","23 Mar 2025, 17:02","","Romanian Deadlift (Barbell)",,"",1,"normal",40,10,,,
"Lower gym","23 Mar 2025, 15:48","23 Mar 2025, 17:02","","Romanian Deadlift (Barbell)",,"",2,"normal",40,10,,,
"Lower gym","23 Mar 2025, 15:48","23 Mar 2025, 17:02","","Romanian Deadlift (Barbell)",,"",3,"normal",40,9,,,
"Lower gym","23 Mar 2025, 15:48","23 Mar 2025, 17:02","","Leg Press (Machine)",,"",0,"normal",90,10,,,
"Lower gym","23 Mar 2025, 15:48","23 Mar 2025, 17:02","","Leg Press (Machine)",,"",1,"normal",140,11,,,
